bhai	भाई	8000
kal	कल	9000
mera	मेरा	7000
meri	मेरी	6500
me	में	9500
mein	में	9000
hai	है	12000
h	है	3000
nahi	नहीं	8000
aaj	आज	8500
tumhara	तुम्हारा	4000
par	पर	7000
pe	पर	6000
kya	क्या	9000
kyun	क्यों	7500
kaise	कैसे	7000
kahan	कहाँ	6500
kaun	कौन	7000
kab	कब	6500
ye	ये	9000
yeh	यह	8500
wo	वो	9000
woh	वह	8000
hum	हम	8000
tum	तुम	8000
aap	आप	8500
main	मैं	9500
mai	मैं	8000
unhe	उन्हें	5000
usse	उससे	4500
isse	इससे	4500
inhe	इन्हें	4000
apna	अपना	6000
apni	अपनी	5500
apne	अपने	5500
tumhare	तुम्हारे	4000
hamara	हमारा	4500
hamari	हमारी	4000
hamare	हमारे	4000
uska	उसका	5000
uski	उसकी	5000
uske	उसके	5000
inka	इनका	4000
inki	इनकी	4000
unka	उनका	4500
unki	उनकी	4500
ka	का	9500
ki	की	9000
ke	के	9000
ko	को	9000
se	से	9000
ne	ने	8500
tak	तक	7000
liye	लिए	7000
wala	वाला	5000
wali	वाली	5000
wale	वाले	5000
bina	बिना	5500
saath	साथ	6000
baad	बाद	6500
pehle	पहले	6000
ander	अंदर	4500
andar	अंदर	4500
bahar	बाहर	4500
upar	ऊपर	4500
niche	नीचे	4500
aage	आगे	5000
peeche	पीछे	4500
aur	और	9500
lekin	लेकिन	8000
ya	या	8000
bhi	भी	8500
sab	सब	8000
kuch	कुछ	8000
bahut	बहुत	8500
thoda	थोड़ा	7000
zyada	ज़्यादा	7000
jyada	ज़्यादा	6500
ab	अब	8500
abhi	अभी	8000
phir	फिर	7500
toh	तो	8000
to	तो	7500
kyunki	क्योंकि	6500
isliye	इसलिए	6000
matlab	मतलब	6000
bas	बस	7000
hi	ही	8000
na	ना	7500
haan	हाँ	7000
han	हाँ	6000
nhi	नहीं	5000
bilkul	बिल्कुल	5500
zaroor	ज़रूर	5000
sirf	सिर्फ	6000
shayad	शायद	5000
jab	जब	7000
jaise	जैसे	6500
warna	वरना	4500
waise	वैसे	5000
aise	ऐसे	5500
kar	कर	8000
karna	करना	8000
karo	करो	7000
kiya	किया	7500
karte	करते	6500
karti	करती	6000
raha	रहा	7000
rahi	रही	6500
rahe	रहे	6500
gaya	गया	7000
gayi	गई	6500
gaye	गए	6000
hua	हुआ	7000
hui	हुई	6500
hue	हुए	6000
hoga	होगा	6500
hogi	होगी	6000
hoge	होंगे	5500
aana	आना	6000
aao	आओ	5500
aaya	आया	6000
aayi	आई	5500
jaana	जाना	6000
jao	जाओ	5000
dena	देना	6000
dedo	दे दो	4500
lena	लेना	6000
bolo	बोलो	5500
batao	बताओ	5500
dekho	देखो	5500
suno	सुनो	5500
chalo	चलो	6000
ruko	रुको	5000
socho	सोचो	5000
samjho	समझो	5000
padho	पढ़ो	5000
likho	लिखो	4500
khao	खाओ	5000
piyo	पियो	4500
sona	सोना	5500
uthna	उठना	5000
baithna	बैठना	4500
chahiye	चाहिए	7000
chahta	चाहता	5500
chahti	चाहती	5000
sakta	सकता	6000
sakti	सकती	5500
sakte	सकते	5500
milna	मिलना	5500
mila	मिला	6000
mili	मिली	5500
ghar	घर	8000
kaam	काम	8000
paisa	पैसा	7500
paise	पैसे	7000
din	दिन	8000
raat	रात	7500
subah	सुबह	7000
sham	शाम	6500
dost	दोस्त	7500
naam	नाम	7000
baat	बात	8000
samay	समय	6000
waqt	वक्त	6500
log	लोग	7000
cheez	चीज़	6000
jagah	जगह	6000
taraf	तरफ	5500
